
Predictions were generated on 12-May-2017 at 08:48:43 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 10: WndSpeed=1 m/s; ShearExp=0 ; RotSpeed=115 rpm; Pitch=1.75 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N1Cl    
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(-)       
         0.0000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
         0.5000	  1.150000E+002	  4.588297E+000	  5.400877E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
         1.0000	  1.150000E+002	  4.588297E+000	  5.400879E+001	  1.025776E+002	  2.373363E-001	  4.507669E-001	 -7.951209E-001
         1.5000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
         2.0000	  1.150000E+002	  4.588297E+000	  5.400879E+001	  1.025776E+002	  2.373363E-001	  4.507669E-001	 -7.951209E-001
         2.5000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
         3.0000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507668E-001	 -7.951209E-001
         3.5000	  1.150000E+002	  4.588297E+000	  5.400879E+001	  1.025776E+002	  2.373363E-001	  4.507669E-001	 -7.951209E-001
         4.0000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507668E-001	 -7.951209E-001
         4.5000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
         5.0000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
         5.5000	  1.150000E+002	  4.588297E+000	  5.400878E+001	  1.025776E+002	  2.373362E-001	  4.507669E-001	 -7.951209E-001
