
Predictions were generated on 12-May-2017 at 08:48:44 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 12: WndSpeed=1 m/s; ShearExp=0 ; RotSpeed=135 rpm; Pitch=1.75 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N1Cl    
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(-)       
         0.0000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         0.5000	  1.350000E+002	  5.386261E+000	  3.685967E+001	  1.003743E+002	  1.619762E-001	  4.410850E-001	 -7.951209E-001
         1.0000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         1.5000	  1.350000E+002	  5.386261E+000	  3.685965E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         2.0000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         2.5000	  1.350000E+002	  5.386262E+000	  3.685965E+001	  1.003743E+002	  1.619760E-001	  4.410849E-001	 -7.951209E-001
         3.0000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         3.5000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         4.0000	  1.350000E+002	  5.386261E+000	  3.685967E+001	  1.003743E+002	  1.619762E-001	  4.410850E-001	 -7.951209E-001
         4.5000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         5.0000	  1.350000E+002	  5.386261E+000	  3.685965E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
         5.5000	  1.350000E+002	  5.386261E+000	  3.685966E+001	  1.003743E+002	  1.619761E-001	  4.410850E-001	 -7.951209E-001
